product,price
Kiwi,$25.45
"Wine - White, Riesling, Henry Of",$15.13
Iced Tea Concentrate,$29.85
Oil - Sesame,$24.38
Pepper - Red Chili,$3.45
Tuna - Sushi Grade,$21.55
"Bread - Dark Rye, Loaf",$23.14
"Wine - Red, Lurton Merlot De",$5.73
Orange Roughy 6/8 Oz,$25.02
Sole - Fillet,$1.28
Beef - Top Butt,$22.28
"Bread - Roll, Canadian Dinner",$5.41
Wine - Conde De Valdemar,$13.14
"Wine - White, Schroder And Schyl",$28.28
Foil - Round Foil,$28.54
Cod - Fillets,$9.95
Shallots,$29.40
Rum - Mount Gay Eclipes,$3.31
Pastry - Trippleberry Muffin - Mini,$20.82
Rabbit - Whole,$21.81
"Soup - Campbells, Beef Barley",$6.30
Kippers - Smoked,$2.71
Steam Pan - Half Size Deep,$23.76
Cleaner - Bleach,$14.20
Flour Dark Rye,$13.35
"Pasta - Lasagna, Dry",$1.68
Cheese - Oka,$21.24
Croissants Thaw And Serve,$23.58
Wine - Sake,$7.61
Chocolate - Mi - Amere Semi,$27.91
Foie Gras,$9.22
Juice - Ocean Spray Cranberry,$25.23
Veal - Heart,$15.31
Pepper - Chili Powder,$15.81
Beer - Original Organic Lager,$3.88
Phyllo Dough,$3.10
Wine - Prosecco Valdobiaddene,$24.38
Remy Red Berry Infusion,$21.15
Cotton Wet Mop 16 Oz,$19.46
Wine - Spumante Bambino White,$7.29
Filter - Coffee,$25.11
Sour Puss Sour Apple,$27.71
Puree - Blackcurrant,$8.34
Cheese - Swiss,$12.59
Wine - Savigny - Les - Beaune,$10.80
Salad Dressing,$14.07
Spice - Montreal Steak Spice,$18.74
"Fish - Soup Base, Bouillon",$11.73
Relish,$29.57
Chips Potato Swt Chilli Sour,$6.54
Foam Cup 6 Oz,$9.81
Lettuce - Boston Bib - Organic,$21.07
Sponge Cake Mix - Vanilla,$9.83
Beef - Top Butt,$6.01
Horseradish Root,$22.04
Tandoori Curry Paste,$24.11
Lettuce - Curly Endive,$6.58
"Soup - Knorr, Chicken Noodle",$16.75
"Wine - Red, Mouton Cadet",$21.74
Bar Energy Chocchip,$29.31
Smirnoff Green Apple Twist,$14.72
Bacardi Limon,$21.52
Beef Cheek Fresh,$12.15
Gherkin,$29.31
Lettuce - Boston Bib - Organic,$16.43
"Pork - Back, Short Cut, Boneless",$11.44
Sauce - Sesame Thai Dressing,$26.79
Oven Mitts 17 Inch,$25.19
Langers - Ruby Red Grapfruit,$29.79
Nantucket - Orange Mango Cktl,$3.01
Wine - Manischewitz Concord,$14.33
Bread - Assorted Rolls,$17.89
Soup Campbells Mexicali Tortilla,$20.66
"Crab - Claws, 26 - 30",$14.46
Spaghetti Squash,$13.43
"Oil - Olive, Extra Virgin",$8.66
Mushroom - Portebello,$24.89
Flour - Bread,$13.22
Tomato - Plum With Basil,$14.25
Chocolate - Compound Coating,$23.73
"Cake Circle, Paprus",$16.44
Sage - Fresh,$3.59
Milk - Chocolate 500ml,$7.58
Mushroom - Crimini,$21.27
Dome Lid Clear P92008h,$6.99
Lettuce - Spring Mix,$9.87
Coffee Swiss Choc Almond,$3.98
Shallots,$25.95
Broom - Angled,$24.31
"Capon - Breast, Double, Wing On",$26.47
Bonito Flakes - Toku Katsuo,$29.82
Island Oasis - Ice Cream Mix,$28.35
Hog / Sausage Casing - Pork,$9.73
Veal - Insides Provini,$12.32
Cheese - Brick With Onion,$27.40
"Pepper - Chillies, Crushed",$21.75
Buffalo - Tenderloin,$20.22
Beef Cheek Fresh,$28.07
"Wine - Magnotta - Red, Baco",$17.89
"Pepper - Julienne, Frozen",$15.33
Soup - French Can Pea,$19.68
Spice - Onion Powder Granulated,$3.07
Bread - Raisin Walnut Pull,$11.95
"Sauce - White, Mix",$9.36
"Pasta - Canelloni, Single Serve",$23.54
Ice Cream Bar - Hagen Daz,$12.52
"Oil - Truffle, White",$4.54
"Marsala - Sperone, Fine, D.o.c.",$6.99
Sour Puss Raspberry,$12.06
Bread - Bistro Sour,$18.02
Wine - Prosecco Valdobienne,$8.25
Carrots - Jumbo,$5.47
Longos - Grilled Salmon With Bbq,$3.74
Toamtoes 6x7 Select,$18.88
Pea - Snow,$25.06
Wine - Cabernet Sauvignon,$15.48
Potatoes - Mini White 3 Oz,$8.40
Wine - Jaboulet Cotes Du Rhone,$29.47
"Wine - Red, Concha Y Toro",$26.31
Pork - Bacon Cooked Slcd,$27.65
Cheese - Grana Padano,$3.78
Juice - Orangina,$18.46
Sponge Cake Mix - Chocolate,$10.70
Sprouts - Baby Pea Tendrils,$23.85
Muffin Mix - Blueberry,$18.03
"Rum - Dark, Bacardi, Black",$28.13
Blueberries,$7.45
Truffle Shells - Semi - Sweet,$9.52
Brandy Apricot,$12.03
Cheese - Montery Jack,$6.03
Foie Gras,$4.28
Bacardi Raspberry,$5.35
Raspberries - Frozen,$20.80
"Doilies - 8, Paper",$25.54
"Stock - Beef, White",$24.21
Apples - Spartan,$8.58
Flavouring Vanilla Artificial,$1.19
Cheese - Parmesan Cubes,$16.28
Cheese - Brick With Pepper,$28.91
Mayonnaise - Individual Pkg,$19.18
Nantucket Orange Juice,$22.66
Energy Drink,$6.11
Okra,$15.92
Bread - Ciabatta Buns,$21.67
Lotus Rootlets - Canned,$11.56
Cup - 4oz Translucent,$6.18
Oneshot Automatic Soap System,$11.00
Cookie Chocolate Chip With,$20.35
Tea - Jasmin Green,$18.33
Bread - Olive Dinner Roll,$17.77
Bacardi Limon,$10.81
Oil - Peanut,$27.36
Glucose,$7.02
Nescafe - Frothy French Vanilla,$17.41
Bread - Malt,$8.36
Sauce - Oyster,$29.77
Sugar - Monocystal / Rock,$26.25
Wine - Sogrape Mateus Rose,$28.74
Drambuie,$28.20
Lambcasing,$21.09
Tequila - Sauza Silver,$8.12
"Wine - White, Ej Gallo",$12.61
"Crab - Claws, 26 - 30",$13.08
Wine - Rioja Campo Viejo,$7.71
Veal - Kidney,$28.44
Dried Figs,$28.71
Carrots - Mini Red Organic,$28.19
Tea - Black Currant,$1.50
Cookie Chocolate Chip With,$27.46
"Onions - Dried, Chopped",$11.33
Cleaner - Bleach,$13.68
Wine - Fat Bastard Merlot,$10.12
Sprouts - China Rose,$23.71
Muffin Mix - Blueberry,$12.86
Sage - Ground,$15.50
"Soup - Beef, Base Mix",$3.87
Pork - Shoulder,$18.44
"Flour - Bran, Red",$18.04
Rolled Oats,$14.86
White Fish - Filets,$25.35
Bagel - Whole White Sesame,$1.26
Bagel - Everything Presliced,$20.13
Orange - Blood,$2.76
Gatorade - Xfactor Berry,$26.78
Lemon Grass,$14.05
Celery Root,$14.39
Sour Puss Sour Apple,$15.99
Vinegar - Cider,$2.53
"Pasta - Penne, Rigate, Dry",$25.36
Foil Cont Round,$15.41
Potatoes - Idaho 100 Count,$28.41
Flower - Leather Leaf Fern,$29.83
Tea - Green,$18.60
"Juice - Apple, 1.36l",$9.41
Oranges,$20.70
Cheese - Taleggio D.o.p.,$10.88
Cheese - Perron Cheddar,$16.42
Pickles - Gherkins,$20.11
"Wine - Red, Mouton Cadet",$12.50
Broom - Push,$1.81
"Beef - Rib Roast, Cap On",$9.01
Sugar Thermometer,$19.79
Pastry - Apple Large,$27.60
Creamers - 10%,$26.95
Beer - Upper Canada Lager,$11.82
Mint - Fresh,$7.12
Wine - Piper Heidsieck Brut,$22.68
Pop - Club Soda Can,$20.45
Wine - Cousino Macul Antiguas,$9.12
Juice - Lemon,$23.92
Sugar - Brown,$4.73
Table Cloth 72x144 White,$15.83
Wine - Fino Tio Pepe Gonzalez,$6.18
"Pork - Loin, Center Cut",$8.92
Container - Clear 16 Oz,$5.77
Beef Tenderloin Aaa,$15.03
Chicken - Soup Base,$23.89
Soup - Campbells Beef Noodle,$1.68
Chicken Thigh - Bone Out,$8.12
Foam Espresso Cup Plain White,$1.92
